"Text","Difficulty","","","","","","","","","","","","","","","","","","","","",""
"Je suis américain.","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous êtes français","A1","","","","","","","","","","","","","","","","","","","","",""
"J’habite à New York, et toi ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Où habitez-vous ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous habitons en France, près de Paris.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je m’appelle Bob, je suis médecin et j'ai 35 ans.","A1","","","","","","","","","","","","","","","","","","","","",""
"Comment tu t'appelles ?","A1","","","","","","","","","","","","","","","","","","","","",""
"D’où tu viens?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je viens du Royaume-Uni.","A1","","","","","","","","","","","","","","","","","","","","",""
"Quel âge tu as ?","A1","","","","","","","","","","","","","","","","","","","","",""
"J'ai 25 ans.","A1","","","","","","","","","","","","","","","","","","","","",""
"Parlez-vous français ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Oui, je parle un peu.","A1","","","","","","","","","","","","","","","","","","","","",""
"Non, je ne parle pas français.	","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous parlez bien anglais.	","A1","","","","","","","","","","","","","","","","","","","","",""
"Je te présente Marie. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Marie est mon amie.","A1","","","","","","","","","","","","","","","","","","","","",""
"Enchanté !","A1","","","","","","","","","","","","","","","","","","","","",""
"Comment allez-vous ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Ca va, merci.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne comprends pas ta question.","A1","","","","","","","","","","","","","","","","","","","","",""
"Où est-ce que vous allez Madame ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous allons à Paris pour prendre un train.","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous sommes en vacances chez des amis.","A1","","","","","","","","","","","","","","","","","","","","",""
"Pouvez-vous m'aidez ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Excusez-moi, où est la gare ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je travaille dans un hopital.        ","A1","","","","","","","","","","","","","","","","","","","","",""
"Je suis médecin. ","A1","","","","","","","","","","","","","","","","","","","","",""
"J'aime le café.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je voudrais un café s'il-vous-plaît !	","A1","","","","","","","","","","","","","","","","","","","","",""
"Ce pantalon est trop cher !","A1","","","","","","","","","","","","","","","","","","","","",""
"Où sont les toilettes, s'il-vous-plaît ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je préfère un autre bijou.","A1","","","","","","","","","","","","","","","","","","","","",""
"Pouvez-vous parler plus lentement ?	","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne trouve pas la rue du marché.        ","A1","","","","","","","","","","","","","","","","","","","","",""
"Parlez-vous anglais ?        ","A1","","","","","","","","","","","","","","","","","","","","",""
"Qu’est ce que vous faites dans le parc?        ","A1","","","","","","","","","","","","","","","","","","","","",""
"Il joue dans le jardin avec un ballon.","A1","","","","","","","","","","","","","","","","","","","","",""
"Excusez-moi, je me suis perdu.","A1","","","","","","","","","","","","","","","","","","","","",""
"Comment allez-vous aujourd'hui ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Le garçon mange des fruits rouges.","A1","","","","","","","","","","","","","","","","","","","","",""
"Ca va, merci. Et toi ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Il fait beau aujourd’hui !","A1","","","","","","","","","","","","","","","","","","","","",""
"Ouais !","A1","","","","","","","","","","","","","","","","","","","","",""
"C’est bien !","A1","","","","","","","","","","","","","","","","","","","","",""
"Atttention aux loups!","A1","","","","","","","","","","","","","","","","","","","","",""
"je fais attention.","A1","","","","","","","","","","","","","","","","","","","","",""
"il appelle un docteur !","A1","","","","","","","","","","","","","","","","","","","","",""
"Le facteur viens ici tous les jours !","A1","","","","","","","","","","","","","","","","","","","","",""
"Bonne chance !","A1","","","","","","","","","","","","","","","","","","","","",""
"Bon anniversaire !","A1","","","","","","","","","","","","","","","","","","","","",""
"Combien ça coûte ?","A1","","","","","","","","","","","","","","","","","","","","",""
"J'ai froid !","A1","","","","","","","","","","","","","","","","","","","","",""
"Je suis désolé.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je suis d'accord.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je t'aime.","A1","","","","","","","","","","","","","","","","","","","","",""
"Juste un petit peu. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Un instant, s'il vous plaît.","A1","","","","","","","","","","","","","","","","","","","","",""
"Merci beaucoup.","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous traversons la route quand les voitures s'arrêtent.","A1","","","","","","","","","","","","","","","","","","","","",""
"Quel est ton numéro de téléphone ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Quelle heure il est ? ","A1","","","","","","","","","","","","","","","","","","","","",""
"Il est midi et quize minutes.","A1","","","","","","","","","","","","","","","","","","","","",""
"Où habites-tu ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne te crois pas.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je m'en vais.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne trouve pas mes clés de maison.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je n'aime pas le fromage.","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous vivons dans une jolie maison avec un grand jardin.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je m’occupe de mes deux enfants quand ils rentrent de l’école.","A1","","","","","","","","","","","","","","","","","","","","",""
"Les enfants aiment faire du vélo avec leur grand-père après l’école. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Je m’appelle Hugo et j’ai seize ans.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le rouge est la couleure des tomates et des fraises.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je prends mon petit-déjeuner dans la cuisine. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je vais prendre ma douche dans ma salle-de-bain.","A1","","","","","","","","","","","","","","","","","","","","",""
"J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous irons au restaurant.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je commande du poisson avec de la purée.","A1","","","","","","","","","","","","","","","","","","","","",""
"Cet après-midi, avec mes amis nous allons au cinéma.","A1","","","","","","","","","","","","","","","","","","","","",""
"J’adore ma grand-mère, elle très gentille.","A1","","","","","","","","","","","","","","","","","","","","",""
"Amélie est ma meilleure amie.","A1","","","","","","","","","","","","","","","","","","","","",""
"J’aime beaucoup l’école.","A1","","","","","","","","","","","","","","","","","","","","",""
"Mes matières préférées sont le français et le sport. ","A1","","","","","","","","","","","","","","","","","","","","",""
"En automne les feuilles des arbres tombent","A1","","","","","","","","","","","","","","","","","","","","",""
"Il commence à y avoir de la pluie et du vent. C’est le moment de sortir mon manteau et mon parapluie !","A1","","","","","","","","","","","","","","","","","","","","",""
"Demain, j'irai faire les courses.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il sera content de te voir.","A1","","","","","","","","","","","","","","","","","","","","",""
"Où irons-nous en vacances l'année prochaine ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je suis dans le bus, j'arrive dans 5 minutes.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu iras voir ta maman la semaine prochaine ? ","A1","","","","","","","","","","","","","","","","","","","","",""
"Le week-end, Pierre aime passer du temps en famille. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Je vois trois pommes de terre, mais elles ne sont pas bonnes.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je lis un livre très intéressant !","A1","","","","","","","","","","","","","","","","","","","","",""
"Je suis malade, je reste dans mon lit aujourd'hui.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le chaufffeur de bus est en retard. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu aimes les légumes verts ? ","A1","","","","","","","","","","","","","","","","","","","","",""
"Le chien de ma voisine fais beaucoup de bruit.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je regarde les oiseaux à travers la fenêtre de ma chambre.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il fait très chaud ce matin à la plage.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu peux me prêter ton stylos s'il-te-plaît ? ","A1","","","","","","","","","","","","","","","","","","","","",""
"Je cherche cette adresse, vous pouvez m'aider ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Sa voiture rouge est très rapide.","A1","","","","","","","","","","","","","","","","","","","","",""
"Mon ami ne répond pas au téléphone.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne trouve pas le livre que tu cherches.","A1","","","","","","","","","","","","","","","","","","","","",""
"Bonjour, je voudrais deux kilos de fraises et un kilo de haricots.","A1","","","","","","","","","","","","","","","","","","","","",""
"Max ira à l'université l'année prochaine. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Le cours de géographie est annulé.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je vous coupe les cheveux comme cela ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Les enfants achètent des pains au chocolat après l'école. ","A1","","","","","","","","","","","","","","","","","","","","",""
"J'habite en colocation avec deux copines.","A1","","","","","","","","","","","","","","","","","","","","",""
"Papa raconte une histoire aux enfants pour les endormir.","A1","","","","","","","","","","","","","","","","","","","","",""
"Léa regarde la télévision chaque soir.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tous les dimanches, je vais faire mes courses au marché.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je ne mange pas viande, je suis végétarienne.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je n'aime pas cette photo.","A1","","","","","","","","","","","","","","","","","","","","",""
"Francis ne viendra pas en cours aujourd’hui.","A1","","","","","","","","","","","","","","","","","","","","",""
"Paul et Julien jouent dans le jardin.","A1","","","","","","","","","","","","","","","","","","","","",""
"La police cherche le voleur de mon vélo.","A1","","","","","","","","","","","","","","","","","","","","",""
"Mon ordinateur ne fonctionne plus, je dois le changer.","A1","","","","","","","","","","","","","","","","","","","","",""
"Mon plat est trop salé.","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous mentez !","A1","","","","","","","","","","","","","","","","","","","","",""
"Il a mal à la tête à cause de la musique.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je partirai demain matin à la première heure pour ne pas rater mon avion.","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous aimez ce film ? ","A1","","","","","","","","","","","","","","","","","","","","",""
"Ils seront tous à la maison ce soir.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le bébé pleure depuis des heures, il a faim.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu aimes ma nouvelle robe ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Les soldes commencent ce week-end.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je vais au travail en transports tous les jours.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu penses que la bibliothèque est ouverte ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Les voitures s'arrêtent au feu rouge.","A1","","","","","","","","","","","","","","","","","","","","",""
"J'aime la musique classique et le rock. ","A1","","","","","","","","","","","","","","","","","","","","",""
"Il joue de la guitare dans un bar.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le thé est trop chaud pour le boire.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il fait trop chaud, j'ouvre la fenêtre.","A1","","","","","","","","","","","","","","","","","","","","",""
"Ce spectacle est très amusant.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je promène le chien de ma voisine qui est en vacances.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il est tard, je rentre chez moi.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu vois le château là-bas ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Je fais mon exposé devant toute la classe.","A1","","","","","","","","","","","","","","","","","","","","",""
"Les lapins aiment les carottes.","A1","","","","","","","","","","","","","","","","","","","","",""
"J'ai peur du noir.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu mesures combien ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Il fait froid en hiver.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le vent soufle fort dans les rues.","A1","","","","","","","","","","","","","","","","","","","","",""
"Je skis avec mes amis tous les week-ends.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il y a de la neige à la montage.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le professeur corrige les exercice des élèves.","A1","","","","","","","","","","","","","","","","","","","","",""
"La mer est pleine de poissons colorés.","A1","","","","","","","","","","","","","","","","","","","","",""
"J'ai trouvé cet orchestre très professionnel !","A1","","","","","","","","","","","","","","","","","","","","",""
"Il déplace sa chaise pour laisser passer le serveur.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu prends une douche et tu vas au lit.","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous êtes une femme très intelligente.","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous pleurez beaucoup.","A1","","","","","","","","","","","","","","","","","","","","",""
"Tu descends l’escalier et tu tournes à gauche.","A1","","","","","","","","","","","","","","","","","","","","",""
"Le héros meurt à la fin du film.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il croit que nous avons raison.","A1","","","","","","","","","","","","","","","","","","","","",""
"Elles finissent leurs devoirs et elles sortent jouer","A1","","","","","","","","","","","","","","","","","","","","",""
"J’ouvre la porte et le chien court à l’extérieur.","A1","","","","","","","","","","","","","","","","","","","","",""
"Ils appellent leurs amis.","A1","","","","","","","","","","","","","","","","","","","","",""
"Chaque soir, nous mangeons tôt.","A1","","","","","","","","","","","","","","","","","","","","",""
"Il pleut et j’attends l’autobus","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous réfléchissons et nous choisissons un gâteau","A1","","","","","","","","","","","","","","","","","","","","",""
"On doit toujours écouter ses parents","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous faites de l’exercice physique","A1","","","","","","","","","","","","","","","","","","","","",""
"Ils viennent souvent nous visiter","A1","","","","","","","","","","","","","","","","","","","","",""
"Nous commençons un nouveau cours","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous étudiez bien et vous réussissez facilement","A1","","","","","","","","","","","","","","","","","","","","",""
"Ils prennent des vacances en juillet.","A1","","","","","","","","","","","","","","","","","","","","",""
"Si tu veux, tu peux arriver tôt.","A1","","","","","","","","","","","","","","","","","","","","",""
"Elle apprécie le quartier dans lequel elle vit.","A1","","","","","","","","","","","","","","","","","","","","",""
"Julie est à Lausanne pour un mois.","A1","","","","","","","","","","","","","","","","","","","","",""
"Chantons une chanson !","A1","","","","","","","","","","","","","","","","","","","","",""
"Vous préparez le repas ?","A1","","","","","","","","","","","","","","","","","","","","",""
"Allons au cinéma !","A1","","","","","","","","","","","","","","","","","","","","",""
"C'est la seule façon de s'en sortir !","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils ont l'intention de s'enfuir par la frontière italienne. ","A2","","","","","","","","","","","","","","","","","","","","",""
"La grange était en feu.","A2","","","","","","","","","","","","","","","","","","","","",""
"Il est vrai que Pierre a moins de livres que ses amis, mais les siens sont meilleurs.","A2","","","","","","","","","","","","","","","","","","","","",""
"Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.","A2","","","","","","","","","","","","","","","","","","","","",""
"Les invités voulaient boire du champagne, mais il n'y en avait plus.","A2","","","","","","","","","","","","","","","","","","","","",""
"Zut, j’ai encore perdu mes lunettes. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Je n’avais jamais vu ça avant ! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Elsa est sortie sans sa casquette pour se protéger la tête des rayons du soleil. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Suivez nos conseils !","A2","","","","","","","","","","","","","","","","","","","","",""
"Le chef du gouvernement appelle à des élections.","A2","","","","","","","","","","","","","","","","","","","","",""
"Alors, lisez ce message de recommendation ! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Enregistrez-vous immédiatement et participez à notre grand tirage au sort !","A2","","","","","","","","","","","","","","","","","","","","",""
"N’hésitez plus et prenez contact avec nos experts !","A2","","","","","","","","","","","","","","","","","","","","",""
"Il t’ordonne de partir immédiatement !","A2","","","","","","","","","","","","","","","","","","","","",""
"J’ai conseillé à ma sœur d’aller dans cette école privée.","A2","","","","","","","","","","","","","","","","","","","","",""
"Ne pas marcher dans l’herbe près du tribunal.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je travaillais lorsqu’il est arrivé par surprise derrière moi. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu voudrais aller à la plage cet après-midi pour chercher des coquillages ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Il a trouvé ses clés dans la niche du chien, sous un tas de feuilles.","A2","","","","","","","","","","","","","","","","","","","","",""
"Les enfant n'avaient pas envie de travailler leurs devoirs après l'école.","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous sommes allés visiter le musée d'art le weekend dernier.","A2","","","","","","","","","","","","","","","","","","","","",""
"Étais-tu en ville avec tes amis hier à treize heure ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Les joueurs étaient contents de leur score final.  ","A2","","","","","","","","","","","","","","","","","","","","",""
"Il était une fois une petite fille de village.","A2","","","","","","","","","","","","","","","","","","","","",""
"Ce dimache, c'était la fête des Mères en France.","A2","","","","","","","","","","","","","","","","","","","","",""
"D'où vient cette fête annuelle ? ","A2","","","","","","","","","","","","","","","","","","","","",""
"Il y a un monstre, je l'ai vu se cacher sous mon lit ! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Il était vraiment horrible ! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Oh, mais attends une seconde !","A2","","","","","","","","","","","","","","","","","","","","",""
"Il était juste un peu curieux.","A2","","","","","","","","","","","","","","","","","","","","",""
"Maintenant que je le connais, je n'ai plus peur ! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Lundi matin, Madame Dupont est allé faire des courses chez le poissonier.","A2","","","","","","","","","","","","","","","","","","","","",""
"Elle a rejoint sa soeur et elles ont déjeuné ensemble dans une brasserie. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Il est allé chez le dentiste pour enlever une dent hier matin avant d'aller au travail.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mon petit frère a pris le bus public pour aller jouer au football avec ses copains.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je suis allée voir un film d'humour en plein air avec mon petit copain. ","A2","","","","","","","","","","","","","","","","","","","","",""
