word	tag	freq_a1	freq_a2	freq_b1	freq_b2	freq_c1	freq_c2	freq_total	
a	N	0.5025	5.0789	4.832	0.5755	0.0	0.0	4.2412	
a fortiori	ADV	0.0	0.0	0.0	6.0554	1.6042	0.0	0.7031	
a mi - temps	ADV	0.0	0.2527	0.0	0.0	0.0	0.0	0.0128	
a part	ADV	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
a posteriori	ADV	0.0	0.0	0.0	0.0	3.1012	19.2455	0.3937	
a priori	ADV	0.0	0.0	0.3401	4.5416	3.2084	67.3593	3.2231	
abaisser	V	0.3983	0.0	0.2041	0.0	0.0	6.4938	0.6946	
abandon	N	0.5197	0.2117	9.7422	9.181	51.0722	0.0	10.4761	
abandonner	V	35.4585	62.3063	104.8393	79.8074	73.6009	28.5334	78.1439	
abandonné	A	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
abasourdir	V	0.0	3.3845	0.0	7.329	0.0	0.0	1.7749	
abattage	N	0.0	0.0	0.6802	0.0	9.3035	0.0	0.9382	
abattoir	N	0.0	0.0	0.8749	0.5285	6.2023	0.0	1.47	
abattre	V	0.0	0.0	6.7524	2.4776	15.5058	0.0	4.7982	
abbaye	N	0.0	12.6819	13.4662	0.0	0.0	0.0	6.7876	
abbé	N	0.0	0.6418	8.3736	0.0	0.0	0.0	2.7498	
abeille	N	0.0	0.0	2.1533	0.0	15.1776	78.2294	9.804	
aberration	N	0.0	0.0	0.0	1.6517	2.0505	0.0	0.3971	
abidjan	N	0.4421	0.0	0.0	0.0	0.0	0.0	0.0085	
aboiement	N	0.0	0.0	1.7603	0.0	0.0	0.0	0.3192	
abolir	V	0.0	0.0	0.3618	1.5139	38.2901	0.0	2.8216	
abolition	N	0.0	0.0	0.2076	0.0	48.7271	0.0	2.6781	
abomination	N	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
abondamment	ADV	0.0	0.0	1.8258	0.0	8.2019	0.0	1.4063	
abondance	N	0.0	0.0	4.4796	0.0	8.2019	0.0	2.3511	
abondant	A	0.0	4.5942	0.3401	0.0	3.1012	6.4938	2.2024	
abonder	V	0.0	0.0	0.0	0.8259	0.0	0.0	0.0189	
abonnement	N	0.0	0.2527	0.9618	0.0	0.0	0.0	0.752	
abonner	V	0.0	0.0	1.3603	0.7062	16.8923	0.0	2.6042	
abonné	N	0.0	0.0	0.0	0.7062	0.0	0.0	0.0161	
abonné	A	0.0	0.0944	0.0	0.0	0.0	0.0	0.0048	
abordable	A	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
aborder	V	0.0	5.8508	28.3675	7.7447	44.5454	6.4938	19.2307	
aborigène	A	0.0	0.3702	0.0	0.0	0.0	0.0	0.0187	
abouti	A	0.0	0.0	0.0	0.0	0.0	9.6228	0.0234	
aboutir	V	0.0	0.0	1.4428	3.0277	15.7275	0.0	2.5288	
aboutissement	N	0.0	0.0	0.0	0.0	0.0	6.4938	0.0158	
aboyer	V	3.6283	7.0134	11.034	0.0	0.0	0.0	7.8354	
abreuver	V	0.0	0.2117	1.1665	0.0	0.0	0.0	0.8232	
abri	N	3.1584	5.3764	1.9817	0.5755	0.0	0.0	4.4725	
abricot	N	11.6212	0.0	1.4472	0.0	0.0	0.0	2.3218	
abriter	V	9.4753	6.3378	5.1019	9.3126	0.0	0.0	8.4161	
abroger	V	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
abruti	N	0.0	0.0	0.0	0.5755	0.0	0.0	0.0349	
abréger	V	0.0	0.0	0.4732	1.5139	0.0	0.0	0.504	
abrév	X	0.0	0.0	0.4732	0.0	0.0	0.0	0.0698	
